VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,CategoryBackup,SharePoint,VI SDK Server,VI SDK UUID
ABGSCRUBSP122VM,poweredOn,False,False,green,ABGSCRUBSP122VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/19 16:03:18,,2023/09/08 12:52:40,2023/09/27 11:38:26,6,"16,384",1,1,intel-haswell,normal,True,True,10.60.23.165,DVS-SERVER-1193,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Application Servers Non-Clinical,,True,notConfigured,gray,-1,-1,"171,848","52,280","50,344",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/ABGSCRUBSP122VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/,Nessus Scan Successfully Remediated 3/1/2022 - CP Last MS Patches February 2022  3.13.23 - Changed Power Settings - CP,"Thu Oct  5 19:41:04 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode12.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-2093,500dfec9-a786-314d-df5b-d5c87df76069,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
BASTION0222VM,poweredOn,False,False,green,BASTION0222VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/28 02:19:07,,2023/07/24 14:33:56,2023/09/27 11:38:26,4,"16,384",1,2,intel-haswell,normal,True,True,10.60.6.66,DVS-APPLICATION-1130,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Virtualization Technologies - Microsoft,,True,notConfigured,gray,-1,-1,"556,556","42,684","40,040",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/EVTUTIL222VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/,Jump Box for DSA in ISC. RITM0432758 CV.,"Thu Oct  5 19:41:07 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode06.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-1128,500d4ce8-921f-d725-555c-46f8844dd592,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
BHPCD,poweredOff,False,False,green,,connected,notRunning,gray,False,,,2022/01/11 15:30:45,2023/09/27 11:38:31,2,"4,096",1,1,,normal,,,,CITRIXFARM-1120,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Retiring Final backup taken,,,notConfigured,gray,-1,-1,"123,588","37,948","37,580",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,8,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BHPCD/BHPCD.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BHPCD/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BHPCD/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BHPCD/,Cisco PCD 12.5 VM template,,VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode08.nbhdhqdomain.nbhd.org,CentOS 4/5/6 (64-bit),CentOS 4/5 (64-bit),vm-1238,52977394-b69e-0d48-f4c6-13ba5e491fcc,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
BISQL0212DCVM,poweredOn,False,False,green,BISQL0212DCVM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/27 15:14:25,,1969/12/31 19:00:00,2023/09/27 15:19:49,4,"32,768",1,6,intel-merom,normal,True,True,10.60.21.61,DVS-DB-1121,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Databases,,True,notConfigured,gray,-1,-1,"3,997,484","2,790,216","2,788,076",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,15,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BISQL0212DCVM/BISQL0212DCVM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BISQL0212DCVM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BISQL0212DCVM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] BISQL0212DCVM/,,"Mon Oct  2 20:33:27 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode22.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-4412,503d892c-0e22-1da0-c140-4ce0ede9b6fc,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,"BackupExclusion, SQLServers",,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
CARDLABINW116VM,poweredOn,False,False,green,CARDLABINW116VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/25 10:38:17,,1969/12/31 19:00:00,2023/09/25 11:08:55,4,"16,384",1,2,intel-merom,normal,True,True,10.60.2.151,DVS-WEB-1110,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Databases,,True,notConfigured,gray,-1,-1,"1,738,208","291,892","290,316",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,15,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CARDLABINW116VM/CARDLABINW116VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CARDLABINW116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CARDLABINW116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CARDLABINW116VM/,"Last Patched: 04/15/2019-RG, Windows Updates changed from Automatic to Manual.",,VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode23.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-4289,5026230e-f024-52d1-93d7-359367301870,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,"BackupExclusion, SQLServers",,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
CCUREPROD116VM,poweredOn,False,False,green,CCUREPROD116VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/28 08:28:42,,1969/12/31 19:00:00,2023/09/27 11:38:27,4,"16,384",1,4,intel-merom,normal,True,True,10.60.0.133,DVS-SERVER-1100,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Databases,,True,notConfigured,gray,-1,-1,"833,796","714,492","713,460",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,14,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CCUREPROD116VM/CCUREPROD116VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CCUREPROD116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CCUREPROD116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CCUREPROD116VM/,"Last Patched: 04/15/2019-RG, Windows Updates changed from Automatic to Manual.","Thu Sep 28 20:00:30 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode24.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-4294,5026f2c2-7324-ca2d-8238-4c0ddbff2525,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,"BackupExclusion, SQLServers",,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
CISCAPIC01VM,poweredOn,False,False,green,grapevine-root-1,connected,running,green,False,2023/09/10 02:46:41,,1969/12/31 19:00:00,2023/09/27 11:38:30,12,"65,536",1,1,intel-haswell,high,,True,10.62.10.10,FWNETMGMT-1550,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Network Engineering,,True,notConfigured,gray,-1,-1,"1,537,072","993,856","992,784",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,9,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCAPIC01VM/CISCAPIC01VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCAPIC01VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCAPIC01VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCAPIC01VM/,Application used in the peds dept on the bhmc 7th and 8th floors,"Thu Oct  5 19:41:10 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode18.nbhdhqdomain.nbhd.org,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-2127,50264651-6a3c-e5ff-4782-f005d9f4ed6e,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
Cisco Prime LAN - ISC,poweredOn,False,False,green,,connected,running,red,False,2023/10/05 08:44:44,,1969/12/31 19:00:00,2023/10/05 08:43:55,16,"16,384",1,2,intel-haswell,normal,,True,,FWNETMGMT-1550,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Network Engineering,,True,notConfigured,gray,-1,-1,"1,383,112","1,301,664","1,300,952",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,11,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] Cisco Prime LAN - ISC/Cisco Prime LAN - ISC.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] Cisco Prime LAN - ISC/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] Cisco Prime LAN - ISC/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] Cisco Prime LAN - ISC/,Cisco Prime Infrastructure Virtual Appliance Needs to stay in ISC hosts,"Thu Oct  5 19:42:49 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode07.nbhdhqdomain.nbhd.org,Red Hat Enterprise Linux 5 (64-bit),,vm-4876,50268c37-c787-6f6e-c93b-8f535f6c1593,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
CISCOCOLL2LXVM,poweredOn,False,False,green,localhost.localdomain,connected,running,green,False,2023/08/17 10:12:39,,2023/08/09 10:13:47,2023/08/17 16:02:46,12,"16,384",1,2,intel-haswell,normal,,True,10.62.10.204,FWNETMGMT-1550,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Network Engineering,,True,notConfigured,gray,-1,-1,"1,554,192","65,912","64,032",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,17,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCOCOLL2LXVM/CISCOCOLL2LXVM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCOCOLL2LXVM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCOCOLL2LXVM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CISCOCOLL2LXVM/,CSP Collector Appliance 2.10.0.1,"Thu Oct  5 19:41:29 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode15.nbhdhqdomain.nbhd.org,CentOS 4/5 (64-bit),CentOS 7 (64-bit),vm-1499,501ea828-4945-8cdf-3a99-7e0ad9cf4683,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
CTXPNATUS19GI,poweredOn,False,False,green,CTXPNATUS19GI.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/10/02 14:07:06,,2023/08/23 09:54:53,2023/09/27 11:38:37,12,"32,768",1,2,intel-haswell,normal,True,True,10.60.23.193,DVS-SERVER-1193,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Databases/NATUS,,True,notConfigured,gray,-1,-1,"249,916","72,140","69,960",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXPNATUS19GI/CTXPNATUS19GI.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXPNATUS19GI/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXPNATUS19GI/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXPNATUS19GI/,2019 Template created by CP on 8/1/2020 Last Patched 12/21/2022 by CV. Latest Microsoft Edge was installed  also.  3.13.23 - Changed Power Settings - CP,"Thu Oct  5 19:41:33 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode18.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-1617,500db32b-44ea-93d1-4eae-82822acafcc9,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
